tag,commit,date,epochs,lr_epochs,lr_restarts,vmax,seed_vocab,tok_mint_until,tok_mint_pmin,tok_compose,dropout,weight_decay,fab_nmax,steps,vocab,minted,never_minted,held_out,train,gap,uniform,order1,words_pct,past_min,held_out_se,notes
vmax4k_8ep,a21a72191d,2026-08-11,8,,,4096,512,0,,0,0,0,4096,45391,,,,2.140,2.189,-0.049,3.522,3.352,87,+0.000,,
vmax8k_8ep,a21a72191d,2026-08-11,8,,,8192,512,0,,0,0,0,4096,45299,,,,3.561,3.561,-0.000,3.463,3.321,31,+0.659,,41% dead rows
vmax4k_18ep_oldLR,2c705c7f8d,2026-08-11,18,,,4096,512,0,,0,0,0,4096,93025,4096,4096,0,3.250,3.389,-0.139,3.523,3.352,43,+0.439,,
vmax8k_18ep_oldLR,2c705c7f8d,2026-08-11,18,,,8192,512,0,,0,0,0,4096,88151,8192,8192,0,4.383,4.116,+0.267,3.305,3.228,19,+1.152,,
vmax4k_18ep_lr8,f279fd0252,2026-08-11,18,8,,4096,512,0,,0,0,0,4096,93027,4096,4096,0,2.023,2.102,-0.080,3.522,3.352,89,+0.000,,best on record
vmax8k_18ep_lr8,5239ebb5aa,2026-08-11,18,8,,8192,512,0,,0,0,0,4096,88160,8192,8192,0,3.377,3.345,+0.031,3.308,3.230,33,+0.436,,
vmax8k_30ep_lr8,ec9813effb,2026-08-11,30,8,,8192,512,0,,0,0,0,4096,137676,8192,8192,0,3.368,3.306,+0.062,3.308,3.230,58,+0.373,,12 extra epochs bought 0.009
frozen512_18ep_oldLR,ec9813effb,2026-08-11,18,18,,512,512,1,,0,0,0,4096,152725,512,512,0,5.540,5.439,+0.101,4.819,3.525,37,+2.875,,freeze at step 1
base_8ep_707f1af,(no log),,8,8,0,2048,,,0,,,,,,,,,1.962,,,,,,,,"SOURCE: self_organize.py:4624 comment, 6-arm pilot at 707f1af; log not retained"
frozen_8ep_707f1af,(no log),,8,8,0,2048,,1,0,,,,,,,,,2.072,,,,,,,,"SOURCE: self_organize.py:4624 comment, 6-arm pilot at 707f1af; log not retained"
frozen_nr_8ep_707f1af,(no log),,8,8,0,2048,,1,0,,,,,,,,,2.365,,,,,,,,"SOURCE: self_organize.py:4624 comment, 6-arm pilot at 707f1af; log not retained"
fabric_off,(no log),,,,,,,,,,,,,,,,,3.543,,,,3.495,,,,SOURCE: self_organize.py:928 comment; log not retained
fabric_on,(no log),,,,,,,,,,,,,,,,,3.441,,,,3.495,,,,SOURCE: self_organize.py:929 comment; fabric contributes +0.709 b/B
base_8ep_gate_starved,136461cdcd,2026-08-11,8,8,1,2048,512,0,0.1,0,0,0,4096,51617,2048,1439,609,3.600,3.642,-0.042,3.927,3.316,33,+0.910,,gate at 0.10 starved minting to 1439/2048 = 29.7% dead rows; caused the fail-open fix
base_8ep_pilot2,1a113f5768,2026-08-11,8,8,1,2048,512,0,0,0,0,0,4096,48133,2048,2048,0,2.239,2.306,-0.067,3.780,3.438,75,+0.000,,regression check: reproduces 2.239 on this corpus
nogate_8ep_pilot2,1a113f5768,2026-08-11,8,8,1,2048,512,0,0,0,0,0,4096,48133,2048,2048,0,2.239,2.306,-0.067,3.780,3.438,75,+0.000,,byte-identical to base_8ep_pilot2; gate default is 0
frozen_8ep_75pct_dead,1a113f5768,2026-08-11,8,8,1,2048,512,1,0,0,0,0,4096,67961,2048,512,1536,6.114,6.104,+0.010,4.819,3.525,4,+3.219,,arm defect: VMAX=2048 with vocab frozen at 512
frozen_8ep_clean,25c37eb931,2026-08-12,8,8,1,512,512,1,0,0,0,0,4096,67966,512,512,0,4.364,4.447,-0.083,4.819,3.525,26,+1.533,,0% dead; retok fires 22x on a frozen vocabulary
frozen_nr_8ep_clean,25c37eb931,2026-08-12,8,8,1,512,512,1,0,0,0,0,4096,67965,512,512,0,2.175,2.098,+0.077,4.819,3.525,94,+0.000,,"BEST: 94% real words; identical vocab to frozen, retok off"
base_18ep_guard,d0728fe52a,2026-08-13,18,8,1,2048,512,0,0,0,0,0,4096,103810,2048,2048,0,3.241,3.287,-0.046,3.782,3.440,43,+0.833,,
vmax4k_18ep_guard,d0728fe52a,2026-08-13,18,8,1,4096,512,0,0,0,0,0,4096,93029,4096,4096,0,2.132,2.105,+0.027,3.523,3.353,77,+0.000,,
vmax8k_18ep_guard,d0728fe52a,2026-08-13,18,8,1,8192,512,0,0,0,0,0,4096,88154,8192,8192,0,3.989,3.951,+0.038,3.308,3.230,31,+1.192,,
vmax4k_18ep_norestart,e2001782e8,2026-08-13,18,8,0,4096,512,0,0,0,0,0,4096,93026,4096,4096,0,3.054,3.321,-0.266,3.522,3.351,49,+0.433,,"LR_RESTARTS=0, guard on"
seedfloor_s0,451459dc4c,2026-08-14,8,8,1,2048,512,0,0,0,0,0,4096,48140,2048,2048,0,4.327,4.078,+0.249,3.783,3.440,35,+0.656,0.120,post-instrument-fix 3-seed floor
seedfloor_s1,451459dc4c,2026-08-14,8,8,1,2048,512,0,0,0,0,0,4096,48137,2048,2048,0,3.572,3.713,-0.141,3.781,3.439,18,+0.944,0.038,post-instrument-fix 3-seed floor
seedfloor_s2,451459dc4c,2026-08-14,8,8,1,2048,512,0,0,0,0,0,4096,48157,2048,2048,0,2.253,2.276,-0.023,3.783,3.440,88,+0.000,0.098,post-instrument-fix 3-seed floor
